Site Name ,ST-HENRI
Site Number ,100
Logger ,Capacitive Water Level
Logger Serial Number ,42564


Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,11/06/2024 , 15:00:00,3364,3364
2,11/06/2024 , 16:00:00,3360,3360
3,11/06/2024 , 17:00:00,3356,3356
4,11/06/2024 , 18:00:00,3352,3352
5,11/06/2024 , 19:00:00,3348,3348
6,11/06/2024 , 20:00:00,3344,3344
7,11/06/2024 , 21:00:00,3340,3340
8,11/06/2024 , 22:00:00,3336,3336
9,11/06/2024 , 23:00:00,3333,3333
10,11/06/2024 , 23:59:59,3330,3330
11,12/06/2024 , 01:00:00,3327,3327
12,12/06/2024 , 02:00:00,3322,3322
13,12/06/2024 , 03:00:00,3320,3320
14,12/06/2024 , 04:00:00,3318,3318
15,12/06/2024 , 05:00:00,3317,3317
16,12/06/2024 , 06:00:00,3315,3315
17,12/06/2024 , 07:00:00,3312,3312
18,12/06/2024 , 08:00:00,3310,3310
19,12/06/2024 , 09:00:00,3309,3309
20,12/06/2024 , 10:00:00,3307,3307
21,12/06/2024 , 11:00:00,3305,3305
22,12/06/2024 , 12:00:00,3306,3306
23,12/06/2024 , 13:00:00,3305,3305
24,12/06/2024 , 14:00:00,3302,3302
25,12/06/2024 , 15:00:00,3301,3301
26,12/06/2024 , 16:00:00,3299,3299
27,12/06/2024 , 17:00:00,3298,3298
28,12/06/2024 , 18:00:00,3295,3295
29,12/06/2024 , 19:00:00,3292,3292
30,12/06/2024 , 20:00:00,3288,3288
31,12/06/2024 , 21:00:00,3283,3283
32,12/06/2024 , 22:00:00,3278,3278
33,12/06/2024 , 23:00:00,3273,3273
34,12/06/2024 , 23:59:59,3271,3271
35,13/06/2024 , 01:00:00,3264,3264
36,13/06/2024 , 02:00:00,3259,3259
37,13/06/2024 , 03:00:00,3250,3250
38,13/06/2024 , 04:00:00,3247,3247
39,13/06/2024 , 05:00:00,3245,3245
40,13/06/2024 , 06:00:00,3243,3243
41,13/06/2024 , 07:00:00,3241,3241
42,13/06/2024 , 08:00:00,3240,3240
43,13/06/2024 , 09:00:00,3238,3238
44,13/06/2024 , 10:00:00,3236,3236
45,13/06/2024 , 11:00:00,3236,3236
46,13/06/2024 , 12:00:00,3236,3236
47,13/06/2024 , 13:00:00,3235,3235
48,13/06/2024 , 14:00:00,3236,3236
49,13/06/2024 , 15:00:00,3237,3237
50,13/06/2024 , 16:00:00,3237,3237
51,13/06/2024 , 17:00:00,3236,3236
52,13/06/2024 , 18:00:00,3235,3235
53,13/06/2024 , 19:00:00,3234,3234
54,13/06/2024 , 20:00:00,3231,3231
55,13/06/2024 , 21:00:00,3229,3229
56,13/06/2024 , 22:00:00,3229,3229
57,13/06/2024 , 23:00:00,3230,3230
58,13/06/2024 , 23:59:59,3232,3232
59,14/06/2024 , 01:00:00,3231,3231
60,14/06/2024 , 02:00:00,3230,3230
61,14/06/2024 , 03:00:00,3230,3230
62,14/06/2024 , 04:00:00,3229,3229
63,14/06/2024 , 05:00:00,3228,3228
64,14/06/2024 , 06:00:00,3229,3229
65,14/06/2024 , 07:00:00,3228,3228
66,14/06/2024 , 08:00:00,3227,3227
67,14/06/2024 , 09:00:00,3226,3226
68,14/06/2024 , 10:00:00,3227,3227
69,14/06/2024 , 11:00:00,3226,3226
70,14/06/2024 , 12:00:00,3229,3229
71,14/06/2024 , 13:00:00,3240,3240
72,14/06/2024 , 14:00:00,3257,3257
73,14/06/2024 , 15:00:00,3268,3268
74,14/06/2024 , 16:00:00,3274,3274
75,14/06/2024 , 17:00:00,3278,3278
76,14/06/2024 , 18:00:00,3278,3278
77,14/06/2024 , 19:00:00,3279,3279
78,14/06/2024 , 20:00:00,3278,3278
79,14/06/2024 , 21:00:00,3278,3278
80,14/06/2024 , 22:00:00,3276,3276
81,14/06/2024 , 23:00:00,3274,3274
82,14/06/2024 , 23:59:59,3270,3270
83,15/06/2024 , 01:00:00,3272,3272
84,15/06/2024 , 02:00:00,3278,3278
85,15/06/2024 , 03:00:00,3283,3283
86,15/06/2024 , 04:00:00,3300,3300
87,15/06/2024 , 05:00:00,3305,3305
88,15/06/2024 , 06:00:00,3305,3305
89,15/06/2024 , 07:00:00,3305,3305
90,15/06/2024 , 08:00:00,3305,3305
91,15/06/2024 , 09:00:00,3305,3305
92,15/06/2024 , 10:00:00,3304,3304
93,15/06/2024 , 11:00:00,3303,3303
94,15/06/2024 , 12:00:00,3302,3302
95,15/06/2024 , 13:00:00,3300,3300
96,15/06/2024 , 14:00:00,3299,3299
97,15/06/2024 , 15:00:00,3297,3297
98,15/06/2024 , 16:00:00,3296,3296
99,15/06/2024 , 17:00:00,3294,3294
100,15/06/2024 , 18:00:00,3291,3291
101,15/06/2024 , 19:00:00,3285,3285
102,15/06/2024 , 20:00:00,3277,3277
