"Titre de tracé : Inkerman"
"#","Date Heure, GMT-04:00","Pres. abs., kPa (LGR S/N: 22224411, SEN S/N: 22224411)","Temp., °C (LGR S/N: 22224411, SEN S/N: 22224411)","Coupleur détaché (LGR S/N: 22224411)","Coupleur attaché (LGR S/N: 22224411)","Hôte connecté (LGR S/N: 22224411)","Arrêté (LGR S/N: 22224411)","Fin de fichier (LGR S/N: 22224411)"
1,05/08/25 10:00:00 AM,101.450,15.760,Enregistré,,,,
2,05/08/25 11:00:00 AM,101.619,15.187,,,,,
3,05/08/25 12:00:00 PM,101.741,14.134,,,,,
4,05/08/25 01:00:00 PM,101.854,13.269,,,,,
5,05/08/25 02:00:00 PM,101.768,11.916,,,,,
6,05/08/25 03:00:00 PM,101.871,12.594,,,,,
7,05/08/25 04:00:00 PM,102.142,13.846,,,,,
8,05/08/25 05:00:00 PM,102.127,14.613,,,,,
9,05/08/25 06:00:00 PM,102.207,14.996,,,,,
10,05/08/25 07:00:00 PM,102.270,14.804,,,,,
11,05/08/25 08:00:00 PM,102.363,14.134,,,,,
12,05/08/25 09:00:00 PM,102.410,13.173,,,,,
13,05/08/25 10:00:00 PM,102.467,12.110,,,,,
14,05/08/25 11:00:00 PM,102.515,11.139,,,,,
15,05/09/25 12:00:00 AM,102.564,10.161,,,,,
16,05/09/25 01:00:00 AM,102.560,9.275,,,,,
17,05/09/25 02:00:00 AM,102.557,8.382,,,,,
18,05/09/25 03:00:00 AM,102.554,7.682,,,,,
19,05/09/25 04:00:00 AM,102.575,7.079,,,,,
20,05/09/25 05:00:00 AM,102.606,6.471,,,,,
21,05/09/25 06:00:00 AM,102.616,6.064,,,,,
22,05/09/25 07:00:00 AM,102.866,5.962,,,,,
23,05/09/25 08:00:00 AM,102.867,6.471,,,,,
24,05/09/25 09:00:00 AM,102.835,6.877,,,,,
25,05/09/25 10:00:00 AM,102.849,7.882,,,,,
26,05/09/25 11:00:00 AM,102.788,9.077,,,,,
27,05/09/25 12:00:00 PM,102.783,10.259,,,,,
28,05/09/25 01:00:00 PM,102.703,11.528,,,,,
29,05/09/25 02:00:00 PM,102.713,12.980,,,,,
30,05/09/25 03:00:00 PM,102.474,13.076,,,,,
31,05/09/25 04:00:00 PM,102.382,15.091,,,,,
32,05/09/25 05:00:00 PM,102.557,17.189,,,,,
33,05/09/25 06:00:00 PM,102.524,18.140,,,,,
34,05/09/25 07:00:00 PM,102.453,18.521,,,,,
35,05/09/25 08:00:00 PM,102.378,17.760,,,,,
36,05/09/25 09:00:00 PM,102.332,16.618,,,,,
37,05/09/25 10:00:00 PM,102.308,15.282,,,,,
38,05/09/25 11:00:00 PM,102.208,13.942,,,,,
39,05/10/25 12:00:00 AM,102.155,12.690,,,,,
40,05/10/25 01:00:00 AM,102.104,11.528,,,,,
41,05/10/25 02:00:00 AM,102.011,10.553,,,,,
42,05/10/25 03:00:00 AM,101.887,9.669,,,,,
43,05/10/25 04:00:00 AM,101.894,8.879,,,,,
44,05/10/25 05:00:00 AM,101.783,8.182,,,,,
45,05/10/25 06:00:00 AM,101.760,7.582,,,,,
46,05/10/25 07:00:00 AM,101.704,7.179,,,,,
47,05/10/25 08:00:00 AM,101.605,6.775,,,,,
48,05/10/25 09:00:00 AM,101.464,6.674,,,,,
49,05/10/25 10:00:00 AM,101.322,6.471,,,,,
50,05/10/25 11:00:00 AM,101.246,6.573,,,,,
51,05/10/25 12:00:00 PM,101.170,6.775,,,,,
52,05/10/25 01:00:00 PM,101.073,7.079,,,,,
53,05/10/25 02:00:00 PM,100.801,7.179,,,,,
54,05/10/25 03:00:00 PM,100.692,7.179,,,,,
55,05/10/25 04:00:00 PM,100.512,9.077,,,,,
56,05/10/25 05:00:00 PM,100.464,10.553,,,,,
57,05/10/25 06:00:00 PM,100.367,10.846,,,,,
58,05/10/25 07:00:00 PM,100.333,10.553,,,,,
59,05/10/25 08:00:00 PM,100.232,9.965,,,,,
60,05/10/25 09:00:00 PM,100.154,9.373,,,,,
61,05/10/25 10:00:00 PM,100.184,8.779,,,,,
62,05/10/25 11:00:00 PM,100.151,8.382,,,,,
63,05/11/25 12:00:00 AM,100.171,7.983,,,,,
64,05/11/25 01:00:00 AM,100.225,7.782,,,,,
65,05/11/25 02:00:00 AM,100.268,7.481,,,,,
66,05/11/25 03:00:00 AM,100.290,7.280,,,,,
67,05/11/25 04:00:00 AM,100.355,7.079,,,,,
68,05/11/25 05:00:00 AM,100.344,6.877,,,,,
69,05/11/25 06:00:00 AM,100.365,6.674,,,,,
70,05/11/25 07:00:00 AM,100.419,6.573,,,,,
71,05/11/25 08:00:00 AM,100.463,6.775,,,,,
72,05/11/25 09:00:00 AM,100.551,7.381,,,,,
73,05/11/25 10:00:00 AM,100.545,9.176,,,,,
74,05/11/25 11:00:00 AM,100.588,11.528,,,,,
75,05/11/25 12:00:00 PM,100.615,13.846,,,,,
76,05/11/25 01:00:00 PM,100.846,15.473,,,,,
77,05/11/25 02:00:00 PM,100.971,16.999,,,,,
78,05/11/25 03:00:00 PM,101.052,17.475,,,,,
79,05/11/25 04:00:00 PM,100.957,17.760,,,,,
80,05/11/25 05:00:00 PM,101.138,18.331,,,,,
81,05/11/25 06:00:00 PM,101.214,17.284,,,,,
82,05/11/25 07:00:00 PM,101.318,15.664,,,,,
83,05/11/25 08:00:00 PM,101.424,14.134,,,,,
84,05/11/25 09:00:00 PM,101.512,12.690,,,,,
85,05/11/25 10:00:00 PM,101.493,11.431,,,,,
86,05/11/25 11:00:00 PM,101.541,10.259,,,,,
87,05/12/25 12:00:00 AM,101.602,9.275,,,,,
88,05/12/25 01:00:00 AM,101.620,8.282,,,,,
89,05/12/25 02:00:00 AM,101.650,7.381,,,,,
90,05/12/25 03:00:00 AM,101.747,6.573,,,,,
91,05/12/25 04:00:00 AM,101.767,5.757,,,,,
92,05/12/25 05:00:00 AM,101.865,5.141,,,,,
93,05/12/25 06:00:00 AM,101.919,4.727,,,,,
94,05/12/25 07:00:00 AM,102.082,4.415,,,,,
95,05/12/25 08:00:00 AM,102.127,6.064,,,,,
96,05/12/25 09:00:00 AM,102.120,7.983,,,,,
97,05/12/25 10:00:00 AM,102.027,9.275,,,,,
98,05/12/25 11:00:00 AM,101.906,11.236,,,,,
99,05/12/25 12:00:00 PM,101.823,13.461,,,,,
100,05/12/25 01:00:00 PM,101.761,15.187,,,,,
101,05/12/25 02:00:00 PM,101.695,16.237,,,,,
102,05/12/25 03:00:00 PM,101.513,15.569,,,,,
103,05/12/25 04:00:00 PM,101.435,15.378,,,,,
104,05/12/25 05:00:00 PM,101.376,16.046,,,,,
105,05/12/25 06:00:00 PM,101.383,16.713,,,,,
106,05/12/25 07:00:00 PM,101.402,16.427,,,,,
107,05/12/25 08:00:00 PM,101.405,15.664,,,,,
108,05/12/25 09:00:00 PM,101.450,14.613,,,,,
109,05/12/25 10:00:00 PM,101.516,13.365,,,,,
110,05/12/25 11:00:00 PM,101.550,11.916,,,,,
111,05/13/25 12:00:00 AM,101.586,10.651,,,,,
112,05/13/25 01:00:00 AM,101.646,9.472,,,,,
113,05/13/25 02:00:00 AM,101.675,8.481,,,,,
114,05/13/25 03:00:00 AM,101.782,7.782,,,,,
115,05/13/25 04:00:00 AM,101.857,7.179,,,,,
116,05/13/25 05:00:00 AM,102.029,6.573,,,,,
117,05/13/25 06:00:00 AM,102.127,6.064,,,,,
118,05/13/25 07:00:00 AM,102.453,5.860,,,,,
119,05/13/25 08:00:00 AM,102.532,7.381,,,,,
120,05/13/25 09:00:00 AM,102.509,9.866,,,,,
121,05/13/25 10:00:00 AM,102.559,12.787,,,,,
122,05/13/25 11:00:00 AM,102.546,16.141,,,,,
123,05/13/25 12:00:00 PM,102.540,19.377,,,,,
124,05/13/25 01:00:00 PM,102.563,20.996,,,,,
125,05/13/25 02:00:00 PM,102.608,21.091,,,,,
126,05/13/25 03:00:00 PM,102.577,19.662,,,,,
127,05/13/25 04:00:00 PM,102.334,20.329,,,,,
128,05/13/25 05:00:00 PM,102.330,22.238,,,,,
