"","phd.site.UID","phd.site.name","station_name","station_id_canada","station_id_MeteoStat","lat.station","long.station","dist_from_zone","start.hourly","end.hourly"
"1","STH","St-Henri","BEAUPORT","27803","71578","46.8","-71.2","18.14627","2003","2025-11-22"
"2","INK","Inkerman","TRACADIE","6205","71719","48.01","-64.49","49.50673","1977","2025-04-27"
"3","BRNTC","Burnt Church","MIRAMICHI RCS","10808","AOYMS","47.01","-65.47","27.63049","2020","2022-12-14"
"4","PRO","Président-Ouest","RIVIERE-DU-LOUP","8539","71578","47.81","-69.55","3.021966","2003","2025-11-22"
"5","GPB","Grande Plée Bleue","BEAUPORT","27803","71578","46.8","-71.2","12.49989","2003","2025-11-22"
