"Titre de tracé : Inkerman"
"#","Date Heure, GMT-03:00","Pres. abs., kPa (LGR S/N: 22195243, SEN S/N: 22195243)","Temp., °C (LGR S/N: 22195243, SEN S/N: 22195243)","Coupleur détaché (LGR S/N: 22195243)","Coupleur attaché (LGR S/N: 22195243)","Hôte connecté (LGR S/N: 22195243)","Arrêté (LGR S/N: 22195243)","Fin de fichier (LGR S/N: 22195243)"
1,05/12/25 08:00:00 AM,101.987,20.329,Enregistré,,,,
2,05/12/25 09:00:00 AM,102.019,13.269,,,,,
3,05/12/25 10:00:00 AM,102.044,10.748,,,,,
4,05/12/25 11:00:00 AM,101.912,11.528,,,,,
5,05/12/25 12:00:00 PM,101.850,12.594,,,,,
6,05/12/25 01:00:00 PM,101.734,13.750,,,,,
7,05/12/25 02:00:00 PM,101.690,15.760,,,,,
8,05/12/25 03:00:00 PM,101.614,15.091,,,,,
9,05/12/25 04:00:00 PM,101.393,13.750,,,,,
10,05/12/25 05:00:00 PM,101.293,18.426,,,,,
11,05/12/25 06:00:00 PM,101.249,20.996,,,,,
12,05/12/25 07:00:00 PM,101.275,21.951,,,,,
13,05/12/25 08:00:00 PM,101.293,22.429,,,,,
14,05/12/25 09:00:00 PM,101.308,22.525,,,,,
15,05/12/25 10:00:00 PM,101.373,22.429,,,,,
16,05/12/25 11:00:00 PM,101.392,22.333,,,,,
17,05/13/25 12:00:00 AM,101.442,22.142,,,,,
18,05/13/25 01:00:00 AM,101.496,22.046,,,,,
19,05/13/25 02:00:00 AM,101.534,21.855,,,,,
20,05/13/25 03:00:00 AM,101.576,21.760,,,,,
21,05/13/25 04:00:00 AM,101.671,21.569,,,,,
22,05/13/25 05:00:00 AM,101.766,21.378,,,,,
23,05/13/25 06:00:00 AM,101.896,21.187,,,,,
24,05/13/25 07:00:00 AM,101.994,21.091,,,,,
25,05/13/25 08:00:00 AM,102.348,20.234,,,,,
26,05/13/25 09:00:00 AM,102.393,17.760,,,,,
27,05/13/25 10:00:00 AM,102.421,14.804,,,,,
28,05/13/25 11:00:00 AM,102.449,13.942,,,,,
29,05/13/25 12:00:00 PM,102.458,20.996,,,,,
30,05/13/25 01:00:00 PM,102.569,24.835,,,,,
31,05/13/25 02:00:00 PM,102.571,24.255,,,,,
32,05/13/25 03:00:00 PM,102.586,19.377,,,,,
33,05/13/25 04:00:00 PM,102.514,17.665,,,,,
34,05/13/25 05:00:00 PM,102.294,19.758,,,,,
35,05/13/25 06:00:00 PM,102.257,21.664,,,,,
36,05/13/25 07:00:00 PM,102.293,22.621,,,,,
37,05/13/25 08:00:00 PM,102.273,23.292,,,,,
38,05/13/25 09:00:00 PM,102.277,23.388,,,,,
39,05/13/25 10:00:00 PM,102.311,23.388,,,,,
40,05/13/25 11:00:00 PM,102.307,23.292,,,,,
41,05/14/25 12:00:00 AM,102.254,23.100,,,,,
42,05/14/25 01:00:00 AM,102.259,22.908,,,,,
43,05/14/25 02:00:00 AM,102.217,22.717,,,,,
44,05/14/25 03:00:00 AM,102.130,22.525,,,,,
45,05/14/25 04:00:00 AM,102.111,22.333,,,,,
46,05/14/25 05:00:00 AM,102.035,22.142,,,,,
47,05/14/25 06:00:00 AM,101.914,21.951,,,,,
48,05/14/25 07:00:00 AM,101.929,21.760,,,,,
49,05/14/25 08:00:00 AM,101.812,21.664,,,,,
50,05/14/25 09:00:00 AM,101.751,21.569,,,,,
51,05/14/25 10:00:00 AM,101.656,21.473,,,,,
52,05/14/25 11:00:00 AM,101.603,21.569,,,,,
53,05/14/25 12:00:00 PM,101.542,21.760,,,,,
54,05/14/25 01:00:00 PM,101.477,21.855,,,,,
55,05/14/25 02:00:00 PM,101.385,22.142,,,,,
56,05/14/25 03:00:00 PM,101.221,22.621,,,,,
57,05/14/25 04:00:00 PM,101.116,23.484,,,,,
58,05/14/25 05:00:00 PM,101.033,24.351,,,,,
59,05/14/25 06:00:00 PM,100.942,25.319,,,,,
60,05/14/25 07:00:00 PM,100.858,26.195,,,,,
61,05/14/25 08:00:00 PM,100.817,26.683,,,,,
62,05/14/25 09:00:00 PM,100.815,26.292,,,,,
63,05/14/25 10:00:00 PM,100.817,26.000,,,,,
64,05/14/25 11:00:00 PM,100.815,25.610,,,,,
65,05/15/25 12:00:00 AM,100.816,25.319,,,,,
66,05/15/25 01:00:00 AM,100.840,25.028,,,,,
67,05/15/25 02:00:00 AM,100.819,24.738,,,,,
68,05/15/25 03:00:00 AM,100.835,24.545,,,,,
69,05/15/25 04:00:00 AM,100.824,24.255,,,,,
70,05/15/25 05:00:00 AM,100.806,24.062,,,,,
71,05/15/25 06:00:00 AM,100.807,23.773,,,,,
72,05/15/25 07:00:00 AM,100.811,23.581,,,,,
73,05/15/25 08:00:00 AM,100.803,23.677,,,,,
74,05/15/25 09:00:00 AM,100.799,23.869,,,,,
75,05/15/25 10:00:00 AM,100.764,24.158,,,,,
76,05/15/25 11:00:00 AM,100.736,24.351,,,,,
77,05/15/25 12:00:00 PM,100.717,24.448,,,,,
78,05/15/25 01:00:00 PM,100.781,24.641,,,,,
79,05/15/25 02:00:00 PM,100.811,24.835,,,,,
80,05/15/25 03:00:00 PM,100.824,25.222,,,,,
81,05/15/25 04:00:00 PM,100.853,25.708,,,,,
82,05/15/25 05:00:00 PM,100.891,26.488,,,,,
83,05/15/25 06:00:00 PM,100.913,27.173,,,,,
84,05/15/25 07:00:00 PM,100.938,27.567,,,,,
85,05/15/25 08:00:00 PM,100.985,27.272,,,,,
86,05/15/25 09:00:00 PM,100.977,26.683,,,,,
87,05/15/25 10:00:00 PM,101.075,26.195,,,,,
88,05/15/25 11:00:00 PM,100.913,25.805,,,,,
89,05/16/25 12:00:00 AM,100.888,25.416,,,,,
90,05/16/25 01:00:00 AM,100.814,24.931,,,,,
91,05/16/25 02:00:00 AM,100.823,24.545,,,,,
92,05/16/25 03:00:00 AM,100.795,24.062,,,,,
93,05/16/25 04:00:00 AM,100.738,23.773,,,,,
94,05/16/25 05:00:00 AM,100.781,23.388,,,,,
95,05/16/25 06:00:00 AM,100.790,23.004,,,,,
96,05/16/25 07:00:00 AM,100.840,22.812,,,,,
97,05/16/25 08:00:00 AM,100.936,22.621,,,,,
98,05/16/25 09:00:00 AM,100.997,22.429,,,,,
99,05/16/25 10:00:00 AM,101.005,22.046,,,,,
100,05/16/25 11:00:00 AM,101.066,21.855,,,,,
101,05/16/25 12:00:00 PM,101.082,21.664,,,,,
102,05/16/25 01:00:00 PM,101.070,21.664,,,,,
103,05/16/25 02:00:00 PM,101.082,21.664,,,,,
104,05/16/25 03:00:00 PM,101.085,21.760,,,,,
105,05/16/25 04:00:00 PM,101.089,21.855,,,,,
106,05/16/25 05:00:00 PM,101.104,21.951,,,,,
107,05/16/25 06:00:00 PM,101.104,21.951,,,,,
108,05/16/25 07:00:00 PM,101.146,21.855,,,,,
109,05/16/25 08:00:00 PM,101.150,21.664,,,,,
110,05/16/25 09:00:00 PM,101.222,21.473,,,,,
111,05/16/25 10:00:00 PM,101.280,21.187,,,,,
112,05/16/25 11:00:00 PM,101.211,20.901,,,,,
113,05/17/25 12:00:00 AM,101.250,20.710,,,,,
114,05/17/25 01:00:00 AM,101.238,20.424,,,,,
115,05/17/25 02:00:00 AM,101.261,20.138,,,,,
116,05/17/25 03:00:00 AM,101.208,19.948,,,,,
117,05/17/25 04:00:00 AM,101.196,19.662,,,,,
118,05/17/25 05:00:00 AM,101.166,19.472,,,,,
119,05/17/25 06:00:00 AM,101.089,19.282,,,,,
120,05/17/25 07:00:00 AM,101.059,19.092,,,,,
121,05/17/25 08:00:00 AM,101.078,18.996,,,,,
122,05/17/25 09:00:00 AM,101.040,18.901,,,,,
123,05/17/25 10:00:00 AM,101.058,18.806,,,,,
124,05/17/25 11:00:00 AM,100.986,18.711,,,,,
125,05/17/25 12:00:00 PM,100.971,18.616,,,,,
126,05/17/25 01:00:00 PM,100.925,18.616,,,,,
127,05/17/25 02:00:00 PM,100.857,18.616,,,,,
128,05/17/25 03:00:00 PM,100.823,18.616,,,,,
129,05/17/25 04:00:00 PM,100.709,18.616,,,,,
130,05/17/25 05:00:00 PM,100.640,18.616,,,,,
131,05/17/25 06:00:00 PM,100.644,18.711,,,,,
132,05/17/25 07:00:00 PM,100.599,18.711,,,,,
133,05/17/25 08:00:00 PM,100.492,18.616,,,,,
134,05/17/25 09:00:00 PM,100.458,18.616,,,,,
135,05/17/25 10:00:00 PM,100.470,18.616,,,,,
136,05/17/25 11:00:00 PM,100.409,18.521,,,,,
137,05/18/25 12:00:00 AM,100.352,18.521,,,,,
138,05/18/25 01:00:00 AM,100.279,18.426,,,,,
139,05/18/25 02:00:00 AM,100.188,18.426,,,,,
140,05/18/25 03:00:00 AM,100.150,18.331,,,,,
141,05/18/25 04:00:00 AM,100.093,18.331,,,,,
142,05/18/25 05:00:00 AM,100.101,18.236,,,,,
143,05/18/25 06:00:00 AM,100.021,18.236,,,,,
144,05/18/25 07:00:00 AM,99.964,18.236,,,,,
145,05/18/25 08:00:00 AM,99.930,18.236,,,,,
146,05/18/25 09:00:00 AM,99.953,18.236,,,,,
147,05/18/25 10:00:00 AM,99.884,18.236,,,,,
148,05/18/25 11:00:00 AM,99.862,18.236,,,,,
149,05/18/25 12:00:00 PM,99.835,18.140,,,,,
150,05/18/25 01:00:00 PM,99.805,18.236,,,,,
151,05/18/25 02:00:00 PM,99.714,18.236,,,,,
152,05/18/25 03:00:00 PM,99.672,18.331,,,,,
153,05/18/25 04:00:00 PM,99.646,18.806,,,,,
154,05/18/25 05:00:00 PM,99.635,19.092,,,,,
155,05/18/25 06:00:00 PM,99.620,19.282,,,,,
156,05/18/25 07:00:00 PM,99.612,19.377,,,,,
157,05/18/25 08:00:00 PM,99.643,19.567,,,,,
158,05/18/25 09:00:00 PM,99.669,19.662,,,,,
159,05/18/25 10:00:00 PM,99.662,19.758,,,,,
160,05/18/25 11:00:00 PM,99.631,19.853,,,,,
161,05/19/25 12:00:00 AM,99.601,19.948,,,,,
162,05/19/25 01:00:00 AM,99.624,19.948,,,,,
163,05/19/25 02:00:00 AM,99.590,19.948,,,,,
164,05/19/25 03:00:00 AM,99.578,19.948,,,,,
165,05/19/25 04:00:00 AM,99.567,19.948,,,,,
166,05/19/25 05:00:00 AM,99.597,19.853,,,,,
167,05/19/25 06:00:00 AM,99.654,19.853,,,,,
168,05/19/25 07:00:00 AM,99.700,19.853,,,,,
169,05/19/25 08:00:00 AM,99.757,19.853,,,,,
170,05/19/25 09:00:00 AM,99.787,19.758,,,,,
171,05/19/25 10:00:00 AM,99.821,19.758,,,,,
172,05/19/25 11:00:00 AM,99.901,19.758,,,,,
173,05/19/25 12:00:00 PM,99.928,19.853,,,,,
174,05/19/25 01:00:00 PM,100.000,19.948,,,,,
175,05/19/25 02:00:00 PM,100.026,20.043,,,,,
176,05/19/25 03:00:00 PM,100.083,20.043,,,,,
177,05/19/25 04:00:00 PM,100.152,20.043,,,,,
178,05/19/25 05:00:00 PM,100.231,20.043,,,,,
179,05/19/25 06:00:00 PM,100.250,19.948,,,,,
180,05/19/25 07:00:00 PM,100.349,20.138,,,,,
181,05/19/25 08:00:00 PM,100.425,20.043,,,,,
182,05/19/25 09:00:00 PM,100.475,20.138,,,,,
183,05/19/25 10:00:00 PM,100.554,20.138,,,,,
184,05/19/25 11:00:00 PM,100.581,19.948,,,,,
185,05/20/25 12:00:00 AM,100.600,19.853,,,,,
186,05/20/25 01:00:00 AM,100.680,19.853,,,,,
187,05/20/25 02:00:00 AM,100.737,19.853,,,,,
188,05/20/25 03:00:00 AM,100.759,19.853,,,,,
189,05/20/25 04:00:00 AM,100.869,19.758,,,,,
190,05/20/25 05:00:00 AM,100.957,19.662,,,,,
191,05/20/25 06:00:00 AM,101.040,19.758,,,,,
192,05/20/25 07:00:00 AM,101.151,19.662,,,,,
193,05/20/25 08:00:00 AM,101.261,19.567,,,,,
194,05/20/25 09:00:00 AM,101.314,19.472,,,,,
195,05/20/25 10:00:00 AM,101.416,19.472,,,,,
196,05/20/25 11:00:00 AM,101.454,19.567,,,,,
197,05/20/25 12:00:00 PM,101.511,19.567,,,,,
198,05/20/25 01:00:00 PM,101.546,19.567,,,,,
199,05/20/25 02:00:00 PM,101.527,19.662,,,,,
200,05/20/25 03:00:00 PM,101.549,19.662,,,,,
201,05/20/25 04:00:00 PM,101.599,19.758,,,,,
202,05/20/25 05:00:00 PM,101.622,19.758,,,,,
203,05/20/25 06:00:00 PM,101.607,19.948,,,,,
204,05/20/25 07:00:00 PM,101.641,20.805,,,,,
205,05/20/25 08:00:00 PM,101.683,21.282,,,,,
206,05/20/25 09:00:00 PM,101.709,21.378,,,,,
207,05/20/25 10:00:00 PM,101.797,21.282,,,,,
208,05/20/25 11:00:00 PM,101.782,21.187,,,,,
209,05/21/25 12:00:00 AM,101.812,21.091,,,,,
210,05/21/25 01:00:00 AM,101.831,20.996,,,,,
211,05/21/25 02:00:00 AM,101.850,20.901,,,,,
212,05/21/25 03:00:00 AM,101.903,20.805,,,,,
213,05/21/25 04:00:00 AM,101.957,20.710,,,,,
214,05/21/25 05:00:00 AM,101.998,20.615,,,,,
215,05/21/25 06:00:00 AM,102.063,20.519,,,,,
216,05/21/25 07:00:00 AM,102.078,20.329,,,,,
217,05/21/25 08:00:00 AM,102.108,20.234,,,,,
218,05/21/25 09:00:00 AM,102.154,20.519,,,,,
219,05/21/25 10:00:00 AM,102.207,20.424,,,,,
220,05/21/25 11:00:00 AM,102.200,20.234,,,,,
221,05/21/25 12:00:00 PM,102.291,20.234,,,,,
222,05/21/25 01:00:00 PM,102.302,20.234,,,,,
223,05/21/25 02:00:00 PM,102.268,20.234,,,,,
224,05/21/25 03:00:00 PM,102.222,20.234,,,,,
225,05/21/25 04:00:00 PM,102.226,20.329,,,,,
226,05/21/25 05:00:00 PM,102.207,20.424,,,,,
227,05/21/25 06:00:00 PM,102.196,20.710,,,,,
228,05/21/25 07:00:00 PM,102.177,21.378,,,,,
229,05/21/25 08:00:00 PM,102.214,22.046,,,,,
