Site Name ,ST-HENRI
Site Number ,100
Logger ,Capacitive Water Level
Logger Serial Number ,41387


Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,11/06/2024 , 15:00:00,1072,1072
2,11/06/2024 , 16:00:00,1394,1394
3,11/06/2024 , 17:00:00,2476,2476
4,11/06/2024 , 18:00:00,2689,2689
5,11/06/2024 , 19:00:00,2692,2692
6,11/06/2024 , 20:00:00,2693,2693
7,11/06/2024 , 21:00:00,2694,2694
8,11/06/2024 , 22:00:00,2694,2694
9,11/06/2024 , 23:00:00,2694,2694
10,11/06/2024 , 23:59:59,2695,2695
11,12/06/2024 , 01:00:00,2695,2695
12,12/06/2024 , 02:00:00,2695,2695
13,12/06/2024 , 03:00:00,2694,2694
14,12/06/2024 , 04:00:00,2694,2694
15,12/06/2024 , 05:00:00,2694,2694
16,12/06/2024 , 06:00:00,2695,2695
17,12/06/2024 , 07:00:00,2696,2696
18,12/06/2024 , 08:00:00,2694,2694
19,12/06/2024 , 09:00:00,2694,2694
20,12/06/2024 , 10:00:00,2694,2694
21,12/06/2024 , 11:00:00,2692,2692
22,12/06/2024 , 12:00:00,2692,2692
23,12/06/2024 , 13:00:00,2691,2691
24,12/06/2024 , 14:00:00,2690,2690
25,12/06/2024 , 15:00:00,2688,2688
26,12/06/2024 , 16:00:00,2687,2687
27,12/06/2024 , 17:00:00,2687,2687
28,12/06/2024 , 18:00:00,2686,2686
29,12/06/2024 , 19:00:00,2686,2686
30,12/06/2024 , 20:00:00,2686,2686
31,12/06/2024 , 21:00:00,2686,2686
32,12/06/2024 , 22:00:00,2687,2687
33,12/06/2024 , 23:00:00,2688,2688
34,12/06/2024 , 23:59:59,2688,2688
35,13/06/2024 , 01:00:00,2689,2689
36,13/06/2024 , 02:00:00,2689,2689
37,13/06/2024 , 03:00:00,2689,2689
38,13/06/2024 , 04:00:00,2690,2690
39,13/06/2024 , 05:00:00,2691,2691
40,13/06/2024 , 06:00:00,2692,2692
41,13/06/2024 , 07:00:00,2690,2690
42,13/06/2024 , 08:00:00,2690,2690
43,13/06/2024 , 09:00:00,2689,2689
44,13/06/2024 , 10:00:00,2688,2688
45,13/06/2024 , 11:00:00,2686,2686
46,13/06/2024 , 12:00:00,2684,2684
47,13/06/2024 , 13:00:00,2681,2681
48,13/06/2024 , 14:00:00,2676,2676
49,13/06/2024 , 15:00:00,2676,2676
50,13/06/2024 , 16:00:00,2675,2675
51,13/06/2024 , 17:00:00,2676,2676
52,13/06/2024 , 18:00:00,2678,2678
53,13/06/2024 , 19:00:00,2684,2684
54,13/06/2024 , 20:00:00,2684,2684
55,13/06/2024 , 21:00:00,2684,2684
56,13/06/2024 , 22:00:00,2684,2684
57,13/06/2024 , 23:00:00,2691,2691
58,13/06/2024 , 23:59:59,2692,2692
59,14/06/2024 , 01:00:00,2694,2694
60,14/06/2024 , 02:00:00,2700,2700
61,14/06/2024 , 03:00:00,2697,2697
62,14/06/2024 , 04:00:00,2696,2696
63,14/06/2024 , 05:00:00,2694,2694
64,14/06/2024 , 06:00:00,2694,2694
65,14/06/2024 , 07:00:00,2694,2694
66,14/06/2024 , 08:00:00,2693,2693
67,14/06/2024 , 09:00:00,2692,2692
68,14/06/2024 , 10:00:00,2692,2692
69,14/06/2024 , 11:00:00,2689,2689
70,14/06/2024 , 12:00:00,2688,2688
71,14/06/2024 , 13:00:00,2686,2686
72,14/06/2024 , 14:00:00,2681,2681
73,14/06/2024 , 15:00:00,2674,2674
74,14/06/2024 , 16:00:00,2671,2671
75,14/06/2024 , 17:00:00,2670,2670
76,14/06/2024 , 18:00:00,2670,2670
77,14/06/2024 , 19:00:00,2670,2670
78,14/06/2024 , 20:00:00,2672,2672
79,14/06/2024 , 21:00:00,2671,2671
80,14/06/2024 , 22:00:00,2673,2673
81,14/06/2024 , 23:00:00,2674,2674
82,14/06/2024 , 23:59:59,2675,2675
83,15/06/2024 , 01:00:00,2676,2676
84,15/06/2024 , 02:00:00,2676,2676
85,15/06/2024 , 03:00:00,2676,2676
86,15/06/2024 , 04:00:00,2676,2676
87,15/06/2024 , 05:00:00,2676,2676
88,15/06/2024 , 06:00:00,2676,2676
89,15/06/2024 , 07:00:00,2676,2676
90,15/06/2024 , 08:00:00,2676,2676
91,15/06/2024 , 09:00:00,2676,2676
92,15/06/2024 , 10:00:00,2674,2674
93,15/06/2024 , 11:00:00,2672,2672
94,15/06/2024 , 12:00:00,2670,2670
95,15/06/2024 , 13:00:00,2666,2666
96,15/06/2024 , 14:00:00,2658,2658
97,15/06/2024 , 15:00:00,2651,2651
98,15/06/2024 , 16:00:00,2649,2649
99,15/06/2024 , 17:00:00,2649,2649
100,15/06/2024 , 18:00:00,2647,2647
101,15/06/2024 , 19:00:00,2647,2647
102,15/06/2024 , 20:00:00,2649,2649
