"Titre de tracé : Burnt Church"
"#","Date Heure, GMT-03:00","Pres. abs., kPa (LGR S/N: 22063141, SEN S/N: 22063141)","Temp., °C (LGR S/N: 22063141, SEN S/N: 22063141)","Coupleur détaché (LGR S/N: 22063141)","Coupleur attaché (LGR S/N: 22063141)","Hôte connecté (LGR S/N: 22063141)","Arrêté (LGR S/N: 22063141)","Fin de fichier (LGR S/N: 22063141)"
100,07/20/25 11:00:00 PM,100.213,23.869,,,,,
101,07/21/25 12:00:00 AM,100.182,23.004,,,,,
102,07/21/25 01:00:00 AM,100.141,22.238,,,,,
103,07/21/25 02:00:00 AM,100.123,21.473,,,,,
104,07/21/25 03:00:00 AM,100.063,20.805,,,,,
105,07/21/25 04:00:00 AM,100.070,20.138,,,,,
106,07/21/25 05:00:00 AM,100.041,19.377,,,,,
107,07/21/25 06:00:00 AM,100.090,18.616,,,,,
108,07/21/25 07:00:00 AM,100.088,18.045,,,,,
109,07/21/25 08:00:00 AM,100.075,17.950,,,,,
110,07/21/25 09:00:00 AM,100.246,18.521,,,,,
111,07/21/25 10:00:00 AM,100.269,18.045,,,,,
112,07/21/25 11:00:00 AM,100.253,18.331,,,,,
113,07/21/25 12:00:00 PM,100.280,19.948,,,,,
114,07/21/25 01:00:00 PM,100.277,22.238,,,,,
115,07/21/25 02:00:00 PM,100.256,23.292,,,,,
116,07/21/25 03:00:00 PM,100.351,23.484,,,,,
117,07/21/25 04:00:00 PM,100.376,21.664,,,,,
118,07/21/25 05:00:00 PM,100.275,20.234,,,,,
119,07/21/25 06:00:00 PM,100.298,19.282,,,,,
120,07/21/25 07:00:00 PM,100.370,19.472,,,,,
121,07/21/25 08:00:00 PM,100.417,19.567,,,,,
122,07/21/25 09:00:00 PM,100.469,19.377,,,,,
123,07/21/25 10:00:00 PM,100.580,19.282,,,,,
124,07/21/25 11:00:00 PM,100.578,19.187,,,,,
125,07/22/25 12:00:00 AM,100.618,18.996,,,,,
126,07/22/25 01:00:00 AM,100.636,18.806,,,,,
127,07/22/25 02:00:00 AM,100.686,18.521,,,,,
128,07/22/25 03:00:00 AM,100.770,18.236,,,,,
129,07/22/25 04:00:00 AM,100.828,17.855,,,,,
130,07/22/25 05:00:00 AM,100.923,17.570,,,,,
131,07/22/25 06:00:00 AM,100.984,17.284,,,,,
132,07/22/25 07:00:00 AM,101.090,16.999,,,,,
133,07/22/25 08:00:00 AM,101.135,16.999,,,,,
134,07/22/25 09:00:00 AM,101.205,17.570,,,,,
135,07/22/25 10:00:00 AM,101.481,19.187,,,,,
136,07/22/25 11:00:00 AM,101.481,22.046,,,,,
137,07/22/25 12:00:00 PM,101.517,25.028,,,,,
138,07/22/25 01:00:00 PM,101.501,27.764,,,,,
139,07/22/25 02:00:00 PM,101.520,28.555,,,,,
140,07/22/25 03:00:00 PM,101.520,29.053,,,,,
141,07/22/25 04:00:00 PM,101.524,29.252,,,,,
142,07/22/25 05:00:00 PM,101.581,29.252,,,,,
143,07/22/25 06:00:00 PM,101.282,28.555,,,,,
144,07/22/25 07:00:00 PM,101.418,27.567,,,,,
145,07/22/25 08:00:00 PM,101.494,26.977,,,,,
