file.uid;lat.garmin.dms;long.garmin.dms;measure_status;site.uid;well.uid;trmnt.uid;lab.probe.id;probe.uid;probe.brand;cal.neg.length1_mm;cal.value1;cal.neg.length2_mm;cal.value2;cal.neg.length3_mm;cal.value3;long.fil.cm;comment;day.begining.aaaa.mm.dd.hh.mm;day.end.aaaa.mm.dd.hh.mm;out.mean.cm;out.1.a.cm;out.1.b.cm;out.1.c.cm;out.2.a.cm;out.2.b.cm;out.2.c.cm;in.bulleur1.prof.cm;in.bulleur1.rel.to.surface.cm;in.bulleur1.date.aaaammdd;in.bulleur1.time.tz.orig;in.bulleur1.obs;in.bulleur2.prof.cm;in.bulleur2.rel.to.surface.cm;in.bulleur2.date.aaaammdd;in.bulleur2.time.tz.orig;in.bulleur2.obs;in.bulleur3.prof.cm;in.bulleur3.rel.to.surface.cm;in.bulleur3.date.aaaammdd;in.bulleur3.time.tz.orig;in.bulleur3.obs;in.bulleur4.prof.cm;in.bulleur4.rel.to.surface.cm;in.bulleur4.date.aaaammdd;in.bulleur4.time.tz.orig;in.bulleur4.obs;in.bulleur.measure.status
22224388_20251210;47,62276;-64,82827;verified;INK;INK.ch2.pasMareA1.p7m.2025;INK.ch2.pasMareA1;NA;22224388;HOBO U20L;;;NA;;;;136,7;;2025-05-30 08:00;2025-11-13 11:00;32,9;0;0;0;0;0;0;100;-100;2025-07-21;11:13:01;AP;106,5;-106,5;2025-11-13;10:02:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
22220786_20251202;47,62269;-64,82948;verified;INK;INK.ch2.pasMareA2.m1m.2025;INK.ch2.pasMareA2;NA;22220786;HOBO U20L;;;NA;;;;137,5;;2025-05-25 10:00;2025-11-13 11:00;18,1;0;0;0;0;0;0;16;-16;2025-05-26;09:00:01;AP;57,4;-57,4;2025-07-21;11:47:01;AP;29,5;-29,5;2025-11-13;09:19:00;AG;NA;NA;NA;NA;NA;
22224391_20251210;47,6226;-64,82939;verified;INK;INK.ch2.pasMareA2.p14m.2025;INK.ch2.pasMareA2;NA;22224391;HOBO U20L;;;NA;;;;290,1;;2025-05-29 08:00;2025-11-13 11:00;76,4;0;0;0;0;0;0;185,7;-185,7;2025-05-29;09:00:01;AP;218,2;-218,2;2025-07-21;11:51:01;AP;244;-244;2025-11-13;09:21:00;AG;NA;NA;NA;NA;NA;
22224410_20251125;47,6225;-64,82941;verified;INK;INK.ch2.pasMareA2.p30m.2025;INK.ch2.pasMareA2;NA;22224410;HOBO U20L;;;NA;;;;145,5;;2025-05-29 08:00;2025-11-13 11:00;37;0;0;0;0;0;0;64,2;-64,2;2025-05-29;09:00:01;AP;112,2;-112,2;2025-07-21;11:55:01;AP;107,5;-107,5;2025-11-13;09:19:00;AG;NA;NA;NA;NA;NA;
22063142_20251210;47,62264;-64,82943;verified;INK;INK.ch2.pasMareA2.p7m.2025;INK.ch2.pasMareA2;NA;22063142;HOBO U20L;;;NA;;;;140,6;;2025-05-25 10:00;2025-11-13 11:00;15,9;0;0;0;0;0;0;21,5;-21,5;2025-05-26;09:00:01;AP;65,5;-65,5;2025-07-21;11:43:01;AP;66;-66;2025-11-13;09:21:00;AG;NA;NA;NA;NA;NA;
22224412_20251210;47,6227;-64,83005;verified;INK;INK.ch2.pasMareC2.m1m.2025;INK.ch2.pasMareC2;NA;22224412;HOBO U20L;;;NA;;;;142;;2025-05-10 10:00;2025-11-13 11:00;29,5;0;0;0;0;0;0;68;-68;2025-05-12;14:00:01;"AG;AP";52,5;-52,5;2025-07-21;12:25:01;AG;44;-44;2025-11-13;09:45:00;AG;NA;NA;NA;NA;NA;
22224389_20251210;47,62256;-64,83001;verified;INK;INK.ch2.pasMareC2.p14m.2025;INK.ch2.pasMareC2;NA;22224389;HOBO U20L;;;NA;;;;241,2;;2025-05-29 08:00;2025-11-13 11:00;36,7;0;0;0;0;0;0;140,3;-140,3;2025-05-29;09:00:01;AP;166,8;-166,8;2025-07-21;12:34:01;AP;179,75;-179,75;2025-11-13;09:38:00;AG;NA;NA;NA;NA;NA;
22224414_20251210;47,62243;-64,83;verified;INK;INK.ch2.pasMareC2.p30m.2025;INK.ch2.pasMareC2;NA;22224414;HOBO U20L;;;NA;;;;134,5;;2025-05-29 08:00;2025-11-13 11:00;25,6;0;0;0;0;0;0;52,5;-52,5;2025-05-29;09:00:01;AP;100,9;-100,9;2025-07-21;12:39:01;AP;94;-94;2025-11-13;09:32:00;AG;NA;NA;NA;NA;NA;
22195241_20250721;47,62281;-64,82873;approved;INK;INK.ch2.pasMareD1.m1m.2025;INK.ch2.pasMareD1;NA;22195241;HOBO U20L;;;NA;;;;142,75;"ok pas etiquette, out 21 juill 47;47,7;46,8 / fil remesuré 27 janv. 2026, anciennement écrit 143,9 cm";2025-05-25 14:00;2025-07-21 11:00;44;0;0;0;0;0;0;54,5;-54,5;2025-05-26;08:00:01;AP;103,3;-103,3;2025-07-21;10:27:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
22195242_20251210;47,62265;-64,82872;verified;INK;INK.ch2.pasMareD1.p14m.2025;INK.ch2.pasMareD1;NA;22195242;HOBO U20L;;;NA;;;;231,2;bulleur 2 changé pour -160 à place de -60;2025-05-28 09:00;2025-11-13 11:00;62,2;0;0;0;0;0;0;139,5;-139,5;2025-05-29;08:00:01;AP;161,5;-161,5;2025-07-21;11:34:01;AP;164,75;-164,75;2025-11-13;10:10:00;AG;NA;NA;NA;NA;NA;
22224394_20251210;47,62257;-64,82867;verified;INK;INK.ch2.pasMareD1.p30m.2025;INK.ch2.pasMareD1;NA;22224394;HOBO U20L;;;NA;;;;133,6;;2025-05-29 07:00;2025-11-13 11:00;19,4;0;0;0;0;0;0;46,2;-46,2;2025-05-29;08:00:01;AP;80,5;-80,5;2025-07-21;11:38:01;AP;91,25;-91,25;2025-11-13;09:10:00;AG;NA;NA;NA;NA;NA;
22220784_20251210;47,62273;-64,82871;verified;INK;INK.ch2.pasMareD1.p7m.2025;INK.ch2.pasMareD1;oups 0874 erreur pré 10 déc. 2025, mais éliminé toute autre possibilité;22220784;HOBO U20L;;;NA;;;;143,1;;2025-05-28 09:00;2025-11-13 11:00;45,8;0;0;0;0;0;0;65;-65;2025-05-29;08:00:01;AP;111,6;-111,6;2025-07-21;11:32:01;AP;102,5;-102,5;2025-11-13;09:08:00;AG;NA;NA;NA;NA;NA;
22224392_20251210;47,62304;-64,82764;verified;INK;INK.ch2.pasMareD2.m1m.2025;INK.ch2.pasMareD2;NA;22224392;HOBO U20L;;;NA;;;;139,8;mesure bulleur 2 impacté prise de données sonde à11h?;2025-05-24 14:00;2025-11-13 10:00;30,5;0;0;0;0;0;0;33,5;-33,5;2025-05-26;09:00:01;AP;93,5;-93,5;2025-07-21;11:00:01;AP;58,25;-58,25;2025-11-13;08:40:00;AG;NA;NA;NA;NA;NA;
22224409_20251210;47,62283;-64,82758;verified;INK;INK.ch2.pasMareD2.p14m.2025;INK.ch2.pasMareD2;NA;22224409;HOBO U20L;;;NA;;;;236,7;;2025-05-30 08:00;2025-11-13 10:00;42,5;0;0;0;0;0;0;126;-126;2025-07-21;11:04:01;"AP;AG";110;-110;2025-11-13;08:47:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
22220785_20251210;47,62269;-64,82758;verified;INK;INK.ch2.pasMareD2.p30m.2025;INK.ch2.pasMareD2;NA;22220785;HOBO U20L;;;NA;;;;137,6;"etiquette erronee, out 21 juill 34;31,6;33,4";2025-05-30 08:00;2025-11-13 10:00;30,7;0;0;0;0;0;0;89,9;-89,9;2025-07-21;11:08:01;"AP;AG";77,5;-77,5;2025-11-13;08:47:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
22063159_20251210;47,62286;-64,82763;verified;INK;INK.ch2.pasMareD2.p7m.2025;INK.ch2.pasMareD2;NA;22063159;HOBO U20L;;;NA;;;;141,7;;2025-05-28 09:00;2025-11-13 10:00;36,4;0;0;0;0;0;0;79,9;-79,9;2025-05-29;08:00:01;AP;95,2;-95,2;2025-07-21;11:01:01;AP;76,5;-76,5;2025-11-13;08:40:00;AG;NA;NA;NA;NA;NA;
41372_20241125;NA;NA;approved;STH;STH.ch2.A2.10m.2024;STH.ch2.A2;41383;41372;ODYSSEY;-800;1511;-200;2439;-489,0086207;1992;80;;2024-06-13 15:00;2024-11-14 11:00;17,4;0;0;0;0;0;0;53;-53;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
