form_or_dataset;onglet;statut;column_name;manuel/automatique/facultatif;long_format_name;original_idea;note;coding
level_logger_calibration_all.csv;;valide;cal.station_id;manuel;Identifiant de station météorologique pour la calibration;;"données de ECCC/CCCS, tirées en ligne du package ""weathercan""";aller trouver dans R, inscrire ensuite dans le fichier
level_logger_calibration_all.csv;;valide;bulleur.1.prof.cm;manuel;bulleur X profondeur (cm);Plusieurs mesures de bulleur seront prises, il ne faut pas écraser cette donnée. Inscrire la mesure dans la case vide  x + 1;La profondeur de la nappe phréatique est une mesure de la distance verticale qui sépare la surface du sol et la surface de l’eau de la zone saturée du sol. Cette distance est généralement exprimée en centimètre et avec des valeurs positives SI L'EAU EST SOUS LE SOL, puisque cela facilite les calculs subséquents et la description langagière de cette donnée. Il est d’usage de décrire une profondeur de nappe phréatique à 20 cm sous la surface, plutôt que de « moins » 20 cm. Si SUR la surface, profondeur NÉGATIVE.;
level_logger_calibration_all.csv;;valide;bulleur.1.rel.to.surface.cm;manuel;"bulleur X relative à la surface (cm; surface = 0)";Sous la surface = négatid, sur la surface, eau hauteur positive (inverse de bulleur.1.prof.cm);Où le sol est à 0 d'élévation relative à lui-même;=bulleur.1.prof.cm*-1 // se calcule seul
level_logger_calibration_all.csv;;valide;bulleur.1.date.aaaammdd;manuel;bulleur.X.date de la mesure;;dans ce format AAAA TIRET NO DE MOI TIRET JOUR AVEC DEUX UNITÉS;
level_logger_calibration_all.csv;;valide;bulleur.1.time.tz.orig;manuel;bulleur.X.heure locale de la mesure;;;
level_logger_calibration_all.csv;;valide;bulleur.1.date.time.UTC.0;manuel;bulleur.X.heure UTC-0 de la mesure;;;
level_logger_calibration_all.csv;;valide;bulleur.1.obs;manuel;bulleur.X. observateur/trice/s;;;
level_logger_calibration_all.csv;;valide;bulleur.2.prof.cm;manuel;idem;Plusieurs mesures de bulleur seront prises, il ne faut pas écraser cette donnée. Inscrire la mesure dans la case vide  x + 1;;
level_logger_calibration_all.csv;;valide;bulleur.2.rel.to.surface.cm;manuel;idem;;;
level_logger_calibration_all.csv;;valide;bulleur.2.date.aaaammdd;manuel;idem;;;
level_logger_calibration_all.csv;;valide;bulleur.2.time.tz.orig;manuel;idem;;;
level_logger_calibration_all.csv;;valide;bulleur.2.obs;manuel;idem;;;
level_logger_calibration_all.csv;;valide;bulleur.3.prof.cm;manuel;idem;Plusieurs mesures de bulleur seront prises, il ne faut pas écraser cette donnée. Inscrire la mesure dans la case vide  x + 1;;
level_logger_calibration_all.csv;;valide;bulleur.3.rel.to.surface.cm;manuel;idem;;;
level_logger_calibration_all.csv;;valide;bulleur.3.date.aaaammdd;manuel;idem;;;
level_logger_calibration_all.csv;;valide;bulleur.3.time.tz.orig;manuel;idem;;;
level_logger_calibration_all.csv;;valide;bulleur.3.obs;manuel;idem;;;
level_logger_calibration_all.csv;;valide;bulleur.4.prof.cm;manuel;idem;Plusieurs mesures de bulleur seront prises, il ne faut pas écraser cette donnée. Inscrire la mesure dans la case vide  x + 1;;
level_logger_calibration_all.csv;;valide;bulleur.4.rel.to.surface.cm;manuel;idem;;;
level_logger_calibration_all.csv;;valide;bulleur.4.date.aaaammdd;manuel;idem;;;
level_logger_calibration_all.csv;;valide;bulleur.4.time.tz.orig;manuel;idem;;;
level_logger_calibration_all.csv;;valide;bulleur.4.obs;manuel;idem;;;
data_SITE.UID;microtopo ;valide;line.id;automatique;;;(refaire au propre après la prise de données);
data_SITE.UID;microtopo ;valide;site.uid;automatique;identifiant unique de site;;data_INK (Inkerman, écotone et routes), data_STH (écotone), data_PRO (forest-to-bog), data_BRNC (forest-to-bog);
data_SITE.UID;microtopo ;valide;trmnt.uid;manuel;identifiant unique de traitement;;;
data_SITE.UID;microtopo ;valide;distance.m;manuel;distance en mètre, à partir du zéro (tourbière perturbée);avec un tape à mesurer; le cas échéant (juste si transects);
data_SITE.UID;microtopo ;valide;elevation.cm;manuel;élévation en CENTImètre, à partir du zéro (tourbière perturbée);profile d'élévation avec un ZIP level;;
data_SITE.UID;microtopo ;valide;zero.location_lat.garmin.dms;manuel;zero location latitude  GPS Garmin en degrés, minutes, secondes;savoir l'emplacement exact du zéro du profil d'élévation. Se rapprocher du milieu adjacent de façon perptenticulaire à l'écotone;;
data_SITE.UID;microtopo ;valide;zero.location_long.garmin.dms;manuel;zero location longitude  GPS Garmin en degrés, minutes, secondes;;;
data_SITE.UID;microtopo ;valide;date.aaaa-mm-dd;manuel;date de la prise de données;;dans ce format AAAA TIRET NO DE MOI TIRET JOUR AVEC DEUX UNITÉS;
data_SITE.UID;microtopo ;valide;site;automatique;nom complet du site;; (dans le data frame du site -> tjrs le même site);
data_SITE.UID;microtopo ;valide;observers;manuel;observateur/trice/s;;;
data_SITE.UID;microtopo ;valide;comment;manuel;;;;
data_SITE.UID;canopy.peat.fauna;valide;line.id;automatique;;;;
data_SITE.UID;canopy.peat.fauna;valide;site.uid;automatique;Identifiant unique de site;;;
data_SITE.UID;canopy.peat.fauna;valide;trmnt.uid.rel.dist.aaaa;automatique;identifiant unique de traitement + distance + année de l'évaluation;(1x chaque sinon en rouge);;
data_SITE.UID;canopy.peat.fauna;valide;lat.garmin.dms;manuel;latitude avec le GPS Garmin, en degrés-minutes-secondes;un point par tr.uid.rel.dist.aaaa, au centre du quadra;EPSG : 4326 / WSG84 (Garmin);
data_SITE.UID;canopy.peat.fauna;valide;long.garmin.dms;manuel;longitude avec le GPS Garmin, en degrés-minutes-secondes;un point par tr.uid.rel.dist.aaaa, au centre du quadra;EPSG : 4326 / WSG84 (Garmin);
data_SITE.UID;canopy.peat.fauna;valide;n.pt.open.canopy;manuel;nord points de canopée ouverte sur 96 points total;;;
data_SITE.UID;canopy.peat.fauna;valide;s.pt.open.canopy;manuel;sud points de canopée ouverte sur 96 points total;;;
data_SITE.UID;canopy.peat.fauna;valide;e.pt.open.canopy;manuel;est points de canopée ouverte sur 96 points total;;;
data_SITE.UID;canopy.peat.fauna;valide;w.pt.open.canopy;manuel;ouest points de canopée ouverte sur 96 points total;;;
data_SITE.UID;canopy.peat.fauna;valide;peat.depth.cm;manuel;profondeur de la troube en cm;;;
data_SITE.UID;canopy.peat.fauna;valide;peat.von.post;manuel;degré de décomposition de la tourbe selon l'échelle de Von Post;;;
data_SITE.UID;canopy.peat.fauna;valide;soil.sample.pH.EC;manuel;échantillon de sol pour mesure de pH et électroconductivité en laboratoire;date de récolte de l'échantillon;;
data_SITE.UID;canopy.peat.fauna;valide;soil.sample.DA;manuel;échantillon de sol pour mesure de densité apparente en laboratoire;date de récolte de l'échantillon;;
data_SITE.UID;canopy.peat.fauna;valide;date.aaaa-mm-dd;manuel;date de la prise de données;;;
data_SITE.UID;canopy.peat.fauna;valide;tr.uid;manuel;identifiant unique de traitement;;;
data_SITE.UID;canopy.peat.fauna;valide;site;automatique;nom complet du site;;;
data_SITE.UID;canopy.peat.fauna;valide;observers;manuel;observateur/trice/s;;;
data_SITE.UID;canopy.peat.fauna;valide;comment;manuel;;;;
data_SITE.UID;canopy.peat.fauna;valide;fauna;manuel;faune observée et traces d'occupation;;;
data_SITE.UID;vegetation_trees.shr;valide;line.id;idem;;;;
data_SITE.UID;vegetation_trees.shr;valide;site.uid;idem;idem;;;
data_SITE.UID;vegetation_trees.shr;valide;trmnt.uid.rel.dist.quadrat.aaaa;automatique;identifiant unique de traitement + distance + quadrat (20m, A, B ou C) + année de l'évaluation;;;
data_SITE.UID;vegetation_trees.shr;valide;tree.height.cm;manuel;hauteur moyenne de la strate arborescente;;à l'œil pour la moyenne, mais se calibrer avec un clinomètre;
data_SITE.UID;vegetation_trees.shr;valide;shrub.height.cm;manuel;hauteur moyenne de la strate arbustive;;à l'œil pour la moyenne, mais se calibrer avec un tape à mesurer;
data_SITE.UID;vegetation_trees.shr;valide;dom.sp.1;manuel;espèce dominante # 1;;;
data_SITE.UID;vegetation_trees.shr;valide;nb.ind.1;manuel;nombre d'individus;;total pour l'espèce;
