"Titre de tracé : Inkerman"
"#","Date Heure, GMT-04:00","Pres. abs., kPa (LGR S/N: 22063159, SEN S/N: 22063159)","Temp., °C (LGR S/N: 22063159, SEN S/N: 22063159)","Coupleur détaché (LGR S/N: 22063159)","Coupleur attaché (LGR S/N: 22063159)","Hôte connecté (LGR S/N: 22063159)","Arrêté (LGR S/N: 22063159)","Fin de fichier (LGR S/N: 22063159)"
1,05/08/25 10:00:00 AM,101.308,16.618,Enregistré,,,,
2,05/08/25 11:00:00 AM,101.466,15.473,,,,,
3,05/08/25 12:00:00 PM,101.608,14.230,,,,,
4,05/08/25 01:00:00 PM,101.698,13.365,,,,,
5,05/08/25 02:00:00 PM,101.616,12.207,,,,,
6,05/08/25 03:00:00 PM,101.695,13.269,,,,,
7,05/08/25 04:00:00 PM,101.995,14.900,,,,,
8,05/08/25 05:00:00 PM,101.998,15.664,,,,,
9,05/08/25 06:00:00 PM,102.071,15.951,,,,,
10,05/08/25 07:00:00 PM,102.139,15.378,,,,,
11,05/08/25 08:00:00 PM,102.187,14.230,,,,,
12,05/08/25 09:00:00 PM,102.261,12.883,,,,,
13,05/08/25 10:00:00 PM,102.340,11.722,,,,,
14,05/08/25 11:00:00 PM,102.368,10.651,,,,,
15,05/09/25 12:00:00 AM,102.394,9.571,,,,,
16,05/09/25 01:00:00 AM,102.391,8.581,,,,,
17,05/09/25 02:00:00 AM,102.380,7.682,,,,,
18,05/09/25 03:00:00 AM,102.401,7.079,,,,,
19,05/09/25 04:00:00 AM,102.397,6.370,,,,,
20,05/09/25 05:00:00 AM,102.414,5.962,,,,,
21,05/09/25 06:00:00 AM,102.402,5.655,,,,,
22,05/09/25 07:00:00 AM,102.663,5.757,,,,,
23,05/09/25 08:00:00 AM,102.679,6.775,,,,,
24,05/09/25 09:00:00 AM,102.641,7.481,,,,,
25,05/09/25 10:00:00 AM,102.627,8.879,,,,,
26,05/09/25 11:00:00 AM,102.611,10.553,,,,,
27,05/09/25 12:00:00 PM,102.621,12.110,,,,,
28,05/09/25 01:00:00 PM,102.549,13.461,,,,,
29,05/09/25 02:00:00 PM,102.562,15.187,,,,,
30,05/09/25 03:00:00 PM,102.300,15.378,,,,,
31,05/09/25 04:00:00 PM,102.256,18.806,,,,,
32,05/09/25 05:00:00 PM,102.469,20.901,,,,,
33,05/09/25 06:00:00 PM,102.396,20.615,,,,,
34,05/09/25 07:00:00 PM,102.344,19.948,,,,,
35,05/09/25 08:00:00 PM,102.239,18.236,,,,,
36,05/09/25 09:00:00 PM,102.183,16.427,,,,,
37,05/09/25 10:00:00 PM,102.160,14.709,,,,,
38,05/09/25 11:00:00 PM,102.059,13.269,,,,,
39,05/10/25 12:00:00 AM,101.961,11.916,,,,,
40,05/10/25 01:00:00 AM,101.921,10.748,,,,,
41,05/10/25 02:00:00 AM,101.812,9.768,,,,,
42,05/10/25 03:00:00 AM,101.713,8.779,,,,,
43,05/10/25 04:00:00 AM,101.699,8.082,,,,,
44,05/10/25 05:00:00 AM,101.613,7.481,,,,,
45,05/10/25 06:00:00 AM,101.552,6.978,,,,,
46,05/10/25 07:00:00 AM,101.498,6.674,,,,,
47,05/10/25 08:00:00 AM,101.405,6.471,,,,,
48,05/10/25 09:00:00 AM,101.283,6.370,,,,,
49,05/10/25 10:00:00 AM,101.126,6.471,,,,,
50,05/10/25 11:00:00 AM,101.034,6.877,,,,,
