"","file.uid","file.name","probe.uid","extraction.data.aaaammjj","tz_orig","probe.brand"
"1","10279769_20250106","connectivite/data/raw/10279769_INK_20250106_hobo.csv","10279769","20250106",NA,NA
"2","10279777_20250106","connectivite/data/raw/10279777_INK_20250106_hobo.csv","10279777","20250106",NA,NA
"3","20573974_20250106","connectivite/data/raw/20573974_INK_20250106_hobo.csv","20573974","20250106",NA,NA
"4","20853328_20250106","connectivite/data/raw/20853328_INK_20250106_hobo.csv","20853328","20250106",NA,NA
"5","22063137_20251202","connectivite/data/raw/22063137_INK_20251202_hobo.csv","22063137","20251202",NA,NA
"6","22063138_20251202","connectivite/data/raw/22063138_INK_20251202_hobo.csv","22063138","20251202",NA,NA
"7","22063139_20250522","connectivite/data/raw/22063139_INK_20250522_hobo.csv","22063139","20250522",NA,NA
"8","22063139_20251210","connectivite/data/raw/22063139_INK_20251210_hobo.csv","22063139","20251210",NA,NA
"9","22063140_20251202","connectivite/data/raw/22063140_INK_20251202_hobo.csv","22063140","20251202",NA,NA
"10","22063141_20251210","connectivite/data/raw/22063141_BRNTC_20251210_hobo.csv","22063141","20251210",NA,NA
"11","22063142_20251210","connectivite/data/raw/22063142_INK_20251210_hobo.csv","22063142","20251210",NA,NA
"12","22063143_20251202","connectivite/data/raw/22063143_INK_20251202_hobo.csv","22063143","20251202",NA,NA
"13","22063155_20251210","connectivite/data/raw/22063155_INK_20251210_hobo.csv","22063155","20251210",NA,NA
"14","22063159_20251210","connectivite/data/raw/22063159_INK_20251210_hobo.csv","22063159","20251210",NA,NA
"15","22195240_20251210","connectivite/data/raw/22195240_INK_20251210_hobo.csv","22195240","20251210",NA,NA
"16","22195241_20250721","connectivite/data/raw/22195241_INK_20250721_hobo.csv","22195241","20250721",NA,NA
"17","22195241_20251202","connectivite/data/raw/22195241_PRO_20251202_hobo.csv","22195241","20251202",NA,NA
"18","22195242_20251210","connectivite/data/raw/22195242_INK_20251210_hobo.csv","22195242","20251210",NA,NA
"19","22195243_20251210","connectivite/data/raw/22195243_INK_20251210_hobo.csv","22195243","20251210",NA,NA
"20","22195244_20250721","connectivite/data/raw/22195244_INK_20250721_hobo.csv","22195244","20250721",NA,NA
"21","22195244_20251125","connectivite/data/raw/22195244_INK_20251125_hobo.csv","22195244","20251125",NA,NA
"22","22195245_20251210","connectivite/data/raw/22195245_INK_20251210_hobo.csv","22195245","20251210",NA,NA
"23","22195246_20250721","connectivite/data/raw/22195246_INK_20250721_hobo.csv","22195246","20250721",NA,NA
"24","22195246_20251210","connectivite/data/raw/22195246_INK_20251210_hobo.csv","22195246","20251210",NA,NA
"25","22195247_20251210","connectivite/data/raw/22195247_INK_20251210_hobo.csv","22195247","20251210",NA,NA
"26","22195248_20250721","connectivite/data/raw/22195248_INK_20250721_hobo.csv","22195248","20250721",NA,NA
"27","22195248_20251125","connectivite/data/raw/22195248_INK_20251125_hobo.csv","22195248","20251125",NA,NA
"28","22220781_20251210","connectivite/data/raw/22220781_PRO_20251210_hobo.csv","22220781","20251210",NA,NA
"29","22220782_20251202","connectivite/data/raw/22220782_INK_20251202_hobo.csv","22220782","20251202",NA,NA
"30","22220783_20251202","connectivite/data/raw/22220783_INK_20251202_hobo.csv","22220783","20251202",NA,NA
"31","22220784_20251210","connectivite/data/raw/22220784_INK_20251210_hobo.csv","22220784","20251210",NA,NA
"32","22220785_20250527","connectivite/data/raw/22220785_INK_20250527_hobo.csv","22220785","20250527",NA,NA
"33","22220785_20251210","connectivite/data/raw/22220785_INK_20251210_hobo.csv","22220785","20251210",NA,NA
"34","22220786_20251202","connectivite/data/raw/22220786_INK_20251202_hobo.csv","22220786","20251202",NA,NA
"35","22220787_20251128","connectivite/data/raw/22220787_STH_20251128_hobo.csv","22220787","20251128",NA,NA
"36","22220788_20250721","connectivite/data/raw/22220788_INK_20250721_hobo.csv","22220788","20250721",NA,NA
"37","22220788_20251202","connectivite/data/raw/22220788_INK_20251202_hobo.csv","22220788","20251202",NA,NA
"38","22220789_20250721","connectivite/data/raw/22220789_INK_20250721_hobo.csv","22220789","20250721",NA,NA
