file.uid;lat.garmin.dms;long.garmin.dms;measure_status;chapitre;site.uid;well.uid;trmnt.uid;lab.probe.id;probe.uid;probe.brand;cal.neg.length1_mm;cal.value1;cal.neg.length2_mm;cal.value2;cal.neg.length3_mm;cal.value3;long.fil.cm;comment;day.begining.aaaa.mm.dd.hh.mm;day.end.aaaa.mm.dd.hh.mm;distance.m;out.long.tuyau.sol.cm;pt.haut.cm;pt.bas1.cm;pt.bas2.cm;pt.bas3.cm;in.bulleur1.prof.cm;in.bulleur1.rel.to.surface.cm;in.bulleur1.date.aaaammdd;in.bulleur1.time.tz.orig;in.bulleur1.obs;in.bulleur2.prof.cm;in.bulleur2.rel.to.surface.cm;in.bulleur2.date.aaaammdd;in.bulleur2.time.tz.orig;in.bulleur2.obs;in.bulleur3.prof.cm;in.bulleur3.rel.to.surface.cm;in.bulleur3.date.aaaammdd;in.bulleur3.time.tz.orig;in.bulleur3.obs;in.bulleur4.prof.cm;in.bulleur4.rel.to.surface.cm;in.bulleur4.date.aaaammdd;in.bulleur4.time.tz.orig;in.bulleur4.obs;x.archive.cal.station_id;x.archive.cal.length.cm;x.archive.2.neg.cal.OUI.length_mm;x.archive.cal.value;x.archive.cal.order;x.archive.measure_type
42566_20241125;NA;NA;approved;ch2;STH;STH.C.7m.2024;STH.C;NA;42566;ODYSSEY;-1400;1846;-200;3682;-660,130719;2978;140;OUI, c'est la bonne mesure;2024-06-23 15:00;2024-11-14 11:00;7;21,2;7;-10,4;-22,6;-9,6;71,5;-71,5;2024-11-14;10:00:01;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;140;NA;1846;1;calibration
22195248_20251125;47,62868;-64,81202;verified;ch3;INK;INK.ch3.C.3.2025;INK.ch3.C;NA;22195248;HOBO U20L;;;NA;;;;135,3;;2025-07-26 16:00;2025-11-13 13:00;NA;33;33;0;0;0;73;-73;2025-11-13;13:47:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22195243_20251210;47,62345;-64,83318;verified;ch2;INK;INK.Mare.D2.m1m.2025;INK.Mare.D2;NA;22195243;HOBO U20L;;;NA;;;;134,1;;2025-05-31 10:00;2025-11-13 12:00;-1;26,8;26,8;0;0;0;76;-76;2025-07-21;15:22:01;AP;44;-44;2025-11-13;11:48:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22220788_20250721;47,62535;-64,81952;approved;ch2;INK;INK.EB.14m.2025;INK.EB;NA;22220788;HOBO U20L;;;NA;;;;132;"out 21 juil: 21,8;21,5;22,2";2025-05-30 13:00;2025-07-21 10:00;14;20,67;20,67;0;0;0;78;-78;2025-05-29;08:00:01;AP;96,1;-96,1;2025-07-21;09:38:01;AP;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6274;;NA;NA;NA;NA
22063159_20251210;47,62286;-64,82763;verified;ch2;INK;INK.pasMare.D2.p7m.2025;INK.pasMare.D2;NA;22063159;HOBO U20L;;;NA;;;;141,7;;2025-05-28 09:00;2025-11-13 10:00;7;36,4;36,4;0;0;0;79,9;-79,9;2025-05-29;08:00:01;AP;95,2;-95,2;2025-07-21;11:01:01;AP;76,5;-76,5;2025-11-13;09:40:00;AG;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22224402_20251210;47,17335;-65,19267;verified;ch1;BRNTC;BRNTC.ch1.T2.refrsh;BRNTC.ch1.T2;NA;22224402;HOBO U20L;;;NA;;;;136,8;cap deplace depui lgtmps env 4cm  plus  haut (le out );2025-07-26 12:00;2025-11-13 08:00;;67,2;67,2;0;0;0;80;-80;2025-11-13;08:42:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6128;;NA;NA;NA;NA
22224407_20250717;47,17032;-65,19318;approved;ch1;BRNTC;BRNTC.ch1.pre1.2025;BRNTC.ch1.pre;NA;22224407;HOBO U20L;;;NA;;;;105,5;out remesuré 17 juillet, moyenne des deux;2025-05-18 13:00;2025-07-17 10:00;NA;33,7;33,7;0;0;0;81;-81;2025-07-17;10:00:01;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;meteo.station.BRNTC_22195247_20250716;;NA;NA;NA;NA
22224381_20251125;47,17157;-65,19262;verified;ch1;BRNTC;BRNTC.ch1.R24.2025;BRNTC.ch1.R24;NA;22224381;HOBO U20L;;;NA;;;;102;;2025-05-18 12:00;2025-11-13 08:00;NA;55,7;55,7;0;0;0;81,4;-81,4;2025-07-18;15:00:01;AP;91,2;-91,2;2024-07-24;08:00:01;AP;70;-70;2025-11-13;07:19:00;AG;NA;NA;NA;NA;NA;6128;;NA;NA;NA;NA
22195247_20251210;47,62545;-64,83363;verified;ch3;INK;INK.ch3.rmvd.1.2025;INK.ch3.rmvd;NA;22195247;HOBO U20L;;;NA;;;;134,2;installer juill/août;2025-07-26 14:00;2025-11-13 12:00;NA;48,6;48,6;0;0;0;81,5;-81,5;2025-11-13;12:57:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22063139_20250522;47,6232;-64,8319;approved;ch2;INK;INK.Mare.D1.A1.m9,8m.pre;INK.Mare.D1.A1;NA;22063139;HOBO U20;;;NA;;;;99,25;enlevé pour travaux, vieux puits ancien de Benoît;2025-05-13 10:00;2025-05-22 11:00;-9,8;48,2;48,2;0;0;0;81,5;-81,5;2025-05-15;09:00:01;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6274;;NA;;NA;NA
22224390_20251202;47,62315;-64,83332;verified;ch2;INK;INK.Mare.D2.p30m.2025;INK.Mare.D2;NA;22224390;HOBO U20L;;;NA;;;;143;;2025-05-29 10:00;2025-11-13 12:00;30;29,8;29,8;0;0;0;83,3;-83,3;2025-05-29;09:00:01;AP;108,2;-108,2;2025-07-21;15:12:01;AP;135,5;-135,5;2025-11-13;11:39:00;AG;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22224400_20251202;47,62334;-64,83323;verified;ch2;INK;INK.Mare.D2.p14m.2025;INK.Mare.D2;NA;22224400;HOBO U20L;;;NA;;;;167;Présence boue dans puits. ;2025-05-31 10:00;2025-11-13 12:00;14;42,07;42,07;0;0;0;84,4;-84,4;2025-07-21;15:16:01;AP;89;-89;2025-11-13;11:44:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22224408_20251202;47,62297;-64,83154;verified;ch2;INK;INK.Mare.D1.m1m.2025;INK.Mare.D1;NA;22224408;HOBO U20L;;;NA;;;;88,3;;2025-05-31 11:00;2025-11-13 12:00;-1;25,8;25,8;0;0;0;85,5;-85,5;2025-07-21;13:01:01;AP;59;-59;2025-11-13;11:17:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22220789_20250721;47,62543;-64,81951;approved;ch2;INK;INK.EA.m4m.2025;INK.EA;NA;22220789;HOBO U20L;;;NA;;;;131,3;"out 21 juil: 34,5;33,6;35,2 // depuis quand reprofilé ?? ajuster donnees";2025-05-30 13:00;2025-07-21 10:00;4;37,77;37,77;0;0;0;87,4;-87,4;2025-05-29;08:00:01;AP;101,9;-101,9;2025-07-21;09:35:01;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6274;;NA;NA;NA;NA
22220785_20251210;47,62269;-64,82758;verified;ch2;INK;INK.pasMare.D2.p30m.2025;INK.pasMare.D2;NA;22220785;HOBO U20L;;;NA;;;;137,6;"etiquette erronee, out 21 juill 34;31,6;33,4";2025-05-30 08:00;2025-11-13 10:00;30;30,7;30,7;0;0;0;89,9;-89,9;2025-07-21;11:08:01;"AP;AG";77,5;-77,5;2025-11-13;09:47:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22063141_20251210;47,1703;-65,19299;verified;ch1;BRNTC;BRNTC.ch1.T3.chippd;BRNTC.ch1.T3;NA;22063141;HOBO U20L;;;NA;;;;136,2;;2025-07-26 08:00;2025-11-13 08:00;;82,2;82,2;0;0;0;93,5;-93,5;2025-11-13;08:32:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6128;;NA;NA;NA;NA
22224386_20250721;47,62328;-64,8326;approved;ch2;INK;INK.Mare.A2.m1m.2025;INK.Mare.A2;NA;22224386;HOBO U20L;;;NA;;;;140,1;"out 21 juill 36,4;37,8;38,7";2025-05-30 10:00;2025-07-21 14:00;-1;34,8;34,8;0;0;0;94,2;-94,2;2025-07-21;14:57:01;AP;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6274;;NA;NA;NA;NA
22195247_20250716;47,17319;-65,19276;approved;ch1;BRNTC;BRNTC.ch1.pre2.2025;BRNTC.ch1.pre;NA;22195247;HOBO U20L;;;NA;;;;104,1;"""Out"" mesurés le 07-16 lors du retrait = 50,7;49,9;48,8 cm";2025-05-18 16:00;2025-07-16 14:00;NA;45,5;45,5;0;0;0;94,5;-94,5;2025-07-16;14:00:01;"AG;AP";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;meteo.station.BRNTC_22195247_20250716;;NA;NA;NA;NA
22220781_20251210;47,79657;-69,50871;verified;ch1;PRO;PRO.ch1.R23.2025;PRO.ch1.R23;NA;22220781;HOBO U20L;;;NA;;;;129;;2025-05-06 14:00;2025-11-12 10:00;NA;70,5;70,5;0;0;0;94,7;-94,7;2025-06-16;14:00:01;"AG;AP";97,5;-97,5;2025-07-28;10:34:01;"AG;AP";139,5;-139,5;2025-10-07;10:39:00;AG;93;-93;2025-11-12;09:09:00;AG;8539;NA;NA;NA;NA;NA
22220791_20251125;47,62297;-64,83202;verified;ch2;INK;INK.Mare.A1.p7m.2025;INK.Mare.A1;NA;22220791;HOBO U20L;;;NA;;;;135;;2025-05-30 09:00;2025-11-13 12:00;7;33,8;33,8;0;0;0;95,5;-95,5;2025-07-21;14:54:01;AP;77,75;-77,75;2025-11-13;11:19:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22224413_20250721;47,62309;-64,83198;approved;ch2;INK;INK.Mare.A1.m1m.2025;INK.Mare.A1;NA;22224413;HOBO U20L;;;NA;;;;99,7;"out 21 juill 30,2;29;31,5";2025-05-30 09:00;2025-07-21 13:00;-1;27,2;27,2;0;0;0;95,5;-95,5;2025-07-21;13:28:01;AP;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6274;;NA;NA;NA;NA
22224388_20251210;47,62276;-64,82827;verified;ch2;INK;INK.pasMare.A1.p7m.2025;INK.pasMare.A1;NA;22224388;HOBO U20L;;;NA;;;;136,7;;2025-05-30 08:00;2025-11-13 11:00;7;32,9;32,9;0;0;0;100;-100;2025-07-21;11:13:01;AP;106,5;-106,5;2025-11-13;10:02:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22224385_20251210;47,17358;-65,19203;verified;ch1;BRNTC;BRNTC.ch1.T1.gr.protec;BRNTC.ch1.T1;NA;22224385;HOBO U20L;;;NA;;;;140;;2025-07-26 12:10;2025-11-13 08:00;;74,3;74,3;0;0;0;101;-101;2025-11-13;08:48:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6128;;NA;NA;NA;NA
20573974_20250106;47,62535;-64,81952;approved;ch2;INK;INK.EB.14m.2024;INK.EB;NA;20573974;HOBO U20;;;NA;;;;139,7;"Selon courriel de Benoît (BSH), 29 juillet 2024. Pas besoin de couper pour rabattement de la nappe; puis installé 3 jours avant remise du LL.";2024-07-31 10:00;2024-11-19 10:00;14;15,9;15,9;0;0;0;103,5;-103,5;2024-07-29;10:02:01;BSH;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6274;NA;NA;NA;NA;NA
22220788_20251202;47,62498;-64,83364;verified;ch3;INK;INK.ch3.rmvd.3.2025;INK.ch3.rmvd;NA;22220788;HOBO U20L;;;NA;;;;131,5;;2025-07-26 14:00;2025-11-13 12:00;NA;60,6;60,6;0;0;0;105;-105;2025-11-13;12:54:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22220783_20251202;47,62677;-64,83679;rejected;ch3;INK;INK.ch3.sprdd.3.2025;INK.ch3.sprdd;NA;22220783;HOBO U20L;;;NA;;;;131,2;sprdd officiel=berms ancien (pré 28 mai, pré puits) / problème sonde ??;2025-05-30 16:00;2025-11-13 13:00;NA;20,77;20,77;0;0;0;110,2;-110,2;2025-07-21;14:30:01;"AP;AG";86,75;-86,75;2025-11-13;12:07:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22220790_20251210;47,62299;-64,83279;verified;ch2;INK;INK.Mare.A2.p30m.2025;INK.Mare.A2;NA;22220790;HOBO U20L;;;NA;;;;137,7;;2025-05-29 10:00;2025-11-13 11:00;30;36,3;36,3;0;0;0;111,5;-111,5;2025-07-21;15:07:01;AP;103,5;-103,5;2025-11-13;10:28:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
10279769_20250106;;NA;approved;ch2;INK;INK.ED.70m.2024;INK.ED;10;10279769;HOBO U20;;;NA;;;;170,7;Selon données papier ?/ INITIALEMENT pris en incluant la sonde et en n'étant pas précis au niveau du couvercle arrodi. Voir photos -> couvercle arrondi remesuré (14 janvier) au niveau de la LIGNE de moulage bien visible.;2024-07-07 10:00;2024-11-19 10:00;70;68,25;68,25;0;0;0;113;-113;2024-07-06;13:00:01;JLG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6274;NA;NA;NA;NA;NA
22063155_20251210;47,62696;-64,83667;verified;ch3;INK;INK.ch3.sprdd.2.2025;INK.ch3.sprdd;NA;22063155;HOBO U20L;;;NA;;;;180,4;sprdd officiel=berms ancien (pré 28 mai, pré puits);2025-05-30 16:00;2025-11-13 13:00;NA;36,8;36,8;0;0;0;115,1;-115,1;2025-07-21;14:28:01;"AP;AG";123,5;-123,5;2025-11-13;12:07:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22224395_20251210;47,6227;-64,8317;verified;ch2;INK;INK.Mare.D1.p30m.2025;INK.Mare.D1;NA;22224395;HOBO U20L;;;NA;;;;137,1;;2025-05-29 08:00;2025-11-13 11:00;30;39,5;39,5;0;0;0;115,1;-115,1;2025-07-21;13:16:01;AP;133;-133;2025-11-13;10:57:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22224403_20251202;47,62287;-64,83156;verified;ch2;INK;INK.Mare.D1.p7m.2025;INK.Mare.D1;NA;22224403;HOBO U20L;;;NA;;;;209,3;;2025-05-31 11:00;2025-11-13 12:00;7;89,8;89,8;0;0;0;115,5;-115,5;2025-07-21;13:05:01;AP;112,5;-112,5;2025-11-13;11:06:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22224396_20250728;47,79649;-69,50865;approved;ch1;PRO;PRO.ch1.pre.2025;PRO.ch1.pre;NA;22224396;HOBO U20L;;;NA;;;;135,6;"out 28/07: 84,5;88;85,2 // DÉFECTUEUX ??";2025-05-03 14:00;2025-07-28 10:00;NA;86,33;86,33;0;0;0;118,6;-118,6;2025-06-17;08:35:01;"AG;AP";124,3;-124,3;2025-07-28;09:40:01;"AG;AP";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6274;NA;NA;NA;NA;NA
22195246_20251210;47,62891;-64,81193;verified;ch3;INK;INK.ch3.C.1.2025;INK.ch3.C;NA;22195246;HOBO U20L;;;NA;;;;166,6;;2025-07-26 16:00;2025-11-13 13:00;NA;25;25;0;0;0;119,25;-119,25;2025-11-13;13:47:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22224407_20251202;47,79721;-69,50786;verified;ch1;PRO;PRO.ch1.T2.refrsh;PRO.ch1.T2;NA;22224407;HOBO U20L;;;NA;;;;119;"33""1/2 out moyenne";2025-09-19 13:00;2025-11-12 10:00;NA;86,25;86,25;0;0;0;120;-120;2025-10-07;11:54:00;AG;76,5;-76,5;2025-11-12;09:29:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8539;;NA;NA;NA;NA
22224393_20251210;47,62295;-64,83207;verified;ch2;INK;INK.Mare.A1.p14m.2025;INK.Mare.A1;NA;22224393;HOBO U20L;;;NA;;;;221,6;;2025-05-29 09:00;2025-11-13 12:00;14;46,8;46,8;0;0;0;124,6;-124,6;2025-05-29;09:00:01;AP;159,7;-159,7;2025-07-21;13:24:01;AP;163,5;-163,5;2025-11-13;11:22:00;AG;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22224409_20251210;47,62283;-64,82758;verified;ch2;INK;INK.pasMare.D2.p14m.2025;INK.pasMare.D2;NA;22224409;HOBO U20L;;;NA;;;;236,7;;2025-05-30 08:00;2025-11-13 10:00;14;42,5;42,5;0;0;0;126;-126;2025-07-21;11:04:01;"AP;AG";110;-110;2025-11-13;09:47:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
20853328_20250106;47,62543;-64,81951;approved;ch2;INK;INK.EA.m4m.2024;INK.EA;34;20853328;HOBO U20;;;NA;;;;170,7;Selon données papier ?;2024-07-07 13:00;2024-07-25 13:00;4;93;93;0;0;0;127;-127;2024-07-07;13:00:01;JLG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6274;NA;NA;NA;NA;NA
20853328_20250106;47,62543;-64,81951;approved;ch2;INK;INK.EA.m4m.2024;INK.EA;34;20853328;HOBO U20;;;NA;;;;142,1;"Selon courriel de Benoît, 29 juillet 2024. Pas besoin de couper pour rabattement de la nappe; puis installé 3 jours avant remise du LL.";2024-07-29 10:00;2024-11-19 10:00;4;29,8;29,8;0;0;0;133,4;-133,4;2024-07-29;10:00:01;BSH;76;-76;2024-11-19;09:00:01;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6274;NA;NA;NA;NA;NA
22063137_20251202;47,62712;-64,83665;verified;ch3;INK;INK.ch3.sprdd.1.2025;INK.ch3.sprdd;NA;22063137;HOBO U20L;;;NA;;;;138,1;"sprdd officiel=berms ancien (pré 28 mai, pré puits) / autour des puits = contaminé par minéral parfois, out 21 juil 36,4;38,1;38,5";2025-05-30 16:00;2025-11-13 13:00;NA;37,67;37,67;0;0;0;133,5;-133,5;2025-07-21;14:32:01;"AP;AG";102;-102;2025-11-13;12:07:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22063138_20251202;47,62722;-64,83357;verified;ch3;INK;INK.ch3.berms.1.2025;INK.ch3.brms;NA;22063138;HOBO U20L;;;NA;;;;137;"echantillon ph ec pris, out 21 juill 50;49,5;48,7, bulleur1 pris en retirant lvlogger";2025-05-30 15:00;2025-11-13 13:00;NA;47,5;47,5;0;0;0;135,8;-135,8;2025-07-21;14:17:01;"AP;AG";108,5;-108,5;2025-11-13;12:07:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22195241_20251202;47,79696;-69,50703;verified;ch1;PRO;PRO.ch1.C0.NoChannels.2025;PRO.ch1.C0;NA;22195241;HOBO U20L;;;NA;;;;143,7;était écrit comme BRNTC, erreur, changé le 7 août pour PRO;2025-07-30 10:00;2025-11-12 10:00;NA;60,9;60,9;0;0;0;138,5;-138,5;2025-10-07;12:31:00;AG;92,5;-92,5;2025-11-12;09:34:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10808;;NA;NA;NA;NA
22195242_20251210;47,62265;-64,82872;verified;ch2;INK;INK.pasMare.D1.p14m.2025;INK.pasMare.D1;NA;22195242;HOBO U20L;;;NA;;;;231,2;;2025-05-28 09:00;2025-11-13 11:00;14;62,2;62,2;0;0;0;139,5;-139,5;2025-05-29;08:00:01;AP;61,5;-61,5;2025-07-21;11:34:01;AP;164,75;-164,75;2025-11-13;10:10:00;AG;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22224389_20251210;47,62256;-64,83001;verified;ch2;INK;INK.pasMare.C2.p14m.2025;INK.pasMare.C2;NA;22224389;HOBO U20L;;;NA;;;;241,2;;2025-05-29 11:00;2025-11-13 11:00;14;36,7;36,7;0;0;0;140,3;-140,3;2025-05-29;09:00:01;AP;166,8;-166,8;2025-07-21;12:34:01;AP;179,75;-179,75;2025-11-13;10:38:00;AG;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22224397_20251202;47,62279;-64,83162;verified;ch2;INK;INK.Mare.D1.p14m.2025;INK.Mare.D1;NA;22224397;HOBO U20L;;;NA;;;;229,8;;2025-05-31 11:00;2025-11-13 12:00;14;60,2;60,2;0;0;0;140,7;-140,7;2025-07-21;13:10:01;AP;134,5;-134,5;2025-11-13;11:04:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22195245_20251210;47,62682;-64,83363;verified;ch3;INK;INK.ch3.berms.3.2025;INK.ch3.brms;NA;22195245;HOBO U20L;;;NA;;;;141;bulleur1 pris en retirant lvlogger;2025-05-30 15:00;2025-11-13 13:00;NA;59,2;59,17;0;0;0;148,1;-148,1;2025-07-21;14:15:01;"AP;AG";147,25;-147,25;2025-11-13;12:19:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22224386_20251202;47,78906;-69,50853;verified;ch1;PRO;PRO.ch1.T1.gr.protec;PRO.ch1.T2;NA;22224386;HOBO U20L;;;NA;;;;139,5;;2025-09-19 13:00;2025-11-12 10:00;NA;102,15;102,15;0;0;0;150;-150;2025-10-07;12:43:00;AG;116;-116;2025-11-12;09:16:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8539;;NA;NA;NA;NA
22224387_20251210;47,62276;-64,82818;verified;ch2;INK;INK.pasMare.A1.p14m.2025;INK.pasMare.A1;NA;22224387;HOBO U20L;;;NA;;;;238;;2025-05-30 08:00;2025-11-13 10:00;14;36,9;36,9;0;0;0;154,2;-154,2;2025-07-21;11:15:01;AP;162,5;-162,5;2025-11-13;09:47:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22063139_20251210;47,62317;-64,83273;verified;ch2;INK;INK.Mare.A2.p14m.2025;INK.Mare.A2;NA;22063139;HOBO U20L;;;NA;;;;236,5;;2025-05-29 09:00;2025-11-13 11:00;14;55,6;55,6;0;0;0;156,3;-156,3;2025-07-21;15:04:01;AP;149;;2025-11-13;10:28:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22195244_20251125;47,62879;-64,812;verified;ch3;INK;INK.ch3.C.2.2025;INK.ch3.C;NA;22195244;HOBO U20L;;;NA;;;;247,3;15cm sable surface;2025-07-26 16:00;2025-11-13 13:00;NA;50,4;50,4;0;0;0;171,5;-171,5;2025-11-13;13:47:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
10279777_20250106;;NA;approved;ch2;INK;INK.EC.40m.2024;INK.EC;18;10279777;HOBO U20;;;NA;;;;155,7;Selon données papier (oui vérif 14 janv'25) / + bas que 180,5 / INITIALEMENT pris en incluant la sonde. Remesuré (14 janvier).;2024-07-09 09:37;2024-11-19 10:00;40;62,46;62,46;0;0;0;180,5;-180,5;2024-11-19;10:00:01;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6274;NA;NA;NA;NA;NA
22224391_20251210;47,6226;-64,82939;verified;ch2;INK;INK.pasMare.A2.p14m.2025;INK.pasMare.A2;NA;22224391;HOBO U20L;;;NA;;;;290,1;;2025-05-29 13:00;2025-11-13 11:00;14;76,4;76,4;0;0;0;185,7;-185,7;2025-05-29;09:00:01;AP;218,2;-218,2;2025-07-21;11:51:01;AP;244;-244;2025-11-13;10:21:00;AG;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22224413_20251202;47,79792;-69,50775;verified;ch1;PRO;PRO.ch1.C00.keptChannels.2025;PRO.ch1.C00;NA;22224413;HOBO U20L;;;NA;;;;119,7;bulleur 1 17/09/25 nappe pas accessible  // était écrit comme BRNTC, erreur, changé le 7 août pour PRO;2025-07-30 10:00;2025-11-12 10:00;NA;68,1;68,1;0;0;0;NA;NA;2025-09-17;14:15:00;"AP; nappe trop prof";NA;NA;2025-10-07;13:16:00;"AG; nappe trop prof";87,5;-87,5;2025-11-12;09:16:00;AG;NA;NA;NA;NA;NA;10808;;NA;NA;NA;NA
22063156_20251202;47,62245;-64,83128;verified;"ch2;ch3";INK;INK.meteo.station.2025;INK.meteo.station;NA;22063156;HOBO U20L;;;NA;;;;NA;"station meteo dans MareC1 à +30m environ. #22063156 sonde. 47,62245; -64,83128. Données prises le 21-07-2025.";2025-05-26 14:00;2025-11-13 12:00;NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6915;NA;NA;NA;NA;NA
22224384_20251202;47,16956;-65,19311;verified;ch1;BRNTC;BRNTC.ch1.C00.keptChannels.2025;BRNTC.ch1.C00;NA;22224384;HOBO U20L;;;NA;;;;103,8;bulleur 1 24/07/25 nappe pas accessible ;2025-07-20 09:00;2025-11-13 08:00;NA;72,6;72,6;0;0;0;NA;NA;2025-07-24;07:00:01;"AP; nappe trop prof";98;-98;2025-13-11;07:26:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6128;;NA;NA;NA;NA
22224401_20251202;47,17922;-65,18117;verified;ch1;BRNTC;BRNTC.meteo.station.2025;BRNTC.meteo.station;NA;22224401;HOBO U20L;;;NA;;;;NA;;2025-07-23 09:00;2025-11-13 10:00;NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6128;NA;NA;NA;NA;NA
22063156_20250721;47,62245;-64,83128;approved;"ch2;ch3";INK;INK.meteo.station.2025;INK.meteo.station;NA;22063156;HOBO U20L;;;NA;;;;NA;"station meteo dans MareC1 à +30m environ. #22063156 sonde. 47,62245; -64,83128. Données prises le 21-07-2025.";2025-05-26 14:00;2025-07-21 11:00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6274;NA;NA;NA;NA;NA
22224401_20250723;47,17922;-65,18117;approved;ch3;BRNTC;BRNTC.meteo.station.2025;BRNTC.meteo.station;NA;22224401;HOBO U20L;;;NA;;;;NA;;2025-05-29 14:00;2025-07-23 07:00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;meteo.station.BRNTC_22195247_20250716;NA;NA;NA;NA;NA
